"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction","OrthoLmjF","OrthoLdHU3"
"LmjF.01.T0005","0","LmjF.01:194..1095","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0005.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0410","+","LmjF.01:100501..101683","LmjF.01.0410","LmjF.01:100528..101130","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0410.html"" target=""_blank""> Click for Additional information</a>","ribosomal protein S7, putative ","N/A","LDHU3_01.0460"
"LmjF.01.T0420","+","LmjF.01:102418..103218","LmjF.01.0420","LmjF.01:102444..103046","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0420.html"" target=""_blank""> Click for Additional information</a>","ribosomal protein S7, putative ","N/A","LDHU3_01.0470"
"LmjF.01.T0430","+","LmjF.01:103832..106513","LmjF.01.0430","LmjF.01:103842..106073","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0430.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0480"
"LmjF.01.T0440","+","LmjF.01:106871..109254","LmjF.01.0440","LmjF.01:107438..109201","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0440.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0490"
"LmjF.01.T0443","0","LmjF.01:109344..109468","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0443.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0445","0","LmjF.01:109522..110418","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0445.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0446","+","LmjF.01:110419..111429","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0446.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0450","+","LmjF.01:111841..113151","LmjF.01.0450","LmjF.01:112139..112795","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0450.html"" target=""_blank""> Click for Additional information</a>","nicotinamidase, putative (PNC1) ","N/A","LDHU3_01.0520"
"LmjF.01.T0460","+","LmjF.01:113542..120957","LmjF.01.0460","LmjF.01:114903..119183","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0460.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0530"
"LmjF.01.T0040","-","LmjF.01:11987..12965","LmjF.01.0040","LmjF.01:12073..12642","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0060"
"LmjF.01.T0470","+","LmjF.01:121419..124324","LmjF.01.0470","LmjF.01:121759..123849","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0470.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA syntetase 1, putative ","N/A","LDHU3_01.0550"
"LmjF.01.T0480","+","LmjF.01:124471..126853","LmjF.01.0480","LmjF.01:124711..125790","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0480.html"" target=""_blank""> Click for Additional information</a>","beta eliminating lyase,putative ","N/A","LDHU3_01.0560"
"LmjF.01.T0490","+","LmjF.01:127182..130583","LmjF.01.0490","LmjF.01:127704..129800","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0490.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative ","N/A","LDHU3_01.0580"
"LmjF.01.T0500","+","LmjF.01:130847..135817","LmjF.01.0500","LmjF.01:130947..133070","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0500.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA synthetase 2, putative ","N/A","LDHU3_01.0590"
"LmjF.01.T0045","-","LmjF.01:13407..14439","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0045.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0510","+","LmjF.01:136012..137307","LmjF.01.0510","LmjF.01:136526..137110","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0510.html"" target=""_blank""> Click for Additional information</a>","fatty acyl CoA synthetase 2, putative ","N/A","LDHU3_01.0600"
"LmjF.01.T0520","+","LmjF.01:137514..141421","LmjF.01.0520","LmjF.01:137710..139857","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0520.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative ","N/A","LDHU3_01.0610"
"LmjF.01.T0525","+","LmjF.01:141814..142714","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0525.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0530","+","LmjF.01:143191..148859","LmjF.01.0530","LmjF.01:143750..148573","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0530.html"" target=""_blank""> Click for Additional information</a>","long-chain-fatty-acid-CoA ligase, putative ","N/A","LDHU3_01.0630"
"LmjF.01.T0010","-","LmjF.01:1441..5054","LmjF.01.0010","LmjF.01:3704..4702","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0010.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0030"
"LmjF.01.T0050","-","LmjF.01:14839..17200","LmjF.01.0050","LmjF.01:15025..17022","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0050.html"" target=""_blank""> Click for Additional information</a>","carboxylase, putative ","N/A","LDHU3_01.0070"
"LmjF.01.T0540","+","LmjF.01:149314..152210","LmjF.01.0540","LmjF.01:149673..151652","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0540.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0640"
"LmjF.01.T0550","+","LmjF.01:152698..154420","LmjF.01.0550","LmjF.01:152788..153657","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0550.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0650"
"LmjF.01.T0560","+","LmjF.01:154847..157050","LmjF.01.0560","LmjF.01:154977..156839","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0560.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0660"
"LmjF.01.T0570","+","LmjF.01:157332..158738","LmjF.01.0570","LmjF.01:157437..158417","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0570.html"" target=""_blank""> Click for Additional information</a>","tricarboxylate carrier, putative ","N/A","LDHU3_01.0670"
"LmjF.01.T0580","+","LmjF.01:158974..162616","LmjF.01.0580","LmjF.01:159196..162105","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0580.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0680"
"LmjF.01.T0590","+","LmjF.01:162904..165058","LmjF.01.0590","LmjF.01:163208..164482","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0590.html"" target=""_blank""> Click for Additional information</a>","KREL1 ","N/A","LDHU3_01.0690"
"LmjF.01.T0600","+","LmjF.01:165329..171476","LmjF.01.0600","LmjF.01:165646..171000","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0600.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0700"
"LmjF.01.T0610","+","LmjF.01:171477..172840","LmjF.01.0610","LmjF.01:172003..172734","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0610.html"" target=""_blank""> Click for Additional information</a>","DNA-damage inducible protein DDI1-like protein ","N/A","LDHU3_01.0710"
"LmjF.01.T0620","+","LmjF.01:173150..176069","LmjF.01.0620","LmjF.01:173484..175259","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0620.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0720"
"LmjF.01.T0630","+","LmjF.01:176528..180470","LmjF.01.0630","LmjF.01:177728..179605","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0630.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function ","N/A","LDHU3_01.0730"
"LmjF.01.T0060","-","LmjF.01:17694..19086","LmjF.01.0060","LmjF.01:18137..18886","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved ","N/A","LDHU3_01.0080"
"LmjF.01.T0635","+","LmjF.01:180789..181076","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0635.html"" target=""_blank""> Click for Additional information</a>","N/A ","N/A","N/A"
"LmjF.01.T0640","+","LmjF.01:181305..184822","LmjF.01.0640","LmjF.01:181458..184796","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0640.html"" target=""_blank""> Click for Additional information</a>","HSP70-like protein ","N/A","LDHU3_01.0740"
"LmjF.01.T0650","+","LmjF.01:185606..187622","LmjF.01.0650","LmjF.01:185785..187269","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0650.html"" target=""_blank""> Click for Additional information</a>","mitochondrial processing peptide beta subunit, putative ","N/A","LDHU3_01.0750"
