"TranscriptID","Strand","TranscriptLocation","CDSID","CDSLocation","AdditionalInformation","AssociatedFunction"
"LmjF.01.T0005",".","LmjF.01:194..1095","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0005.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0010","-","LmjF.01:1441..5054","LmjF.01.0010","LmjF.01:3704..4702","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0010.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0020","-","LmjF.01:5579..7631","LmjF.01.0020","LmjF.01:5790..7439","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0020.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0030","-","LmjF.01:8435..11655","LmjF.01.0030","LmjF.01:9061..11067","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0030.html"" target=""_blank""> Click for Additional information</a>","MCAK-like kinesin, putative "
"LmjF.01.T0040","-","LmjF.01:11987..12965","LmjF.01.0040","LmjF.01:12073..12642","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0040.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, unknown function "
"LmjF.01.T0045","-","LmjF.01:13407..14439","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0045.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0050","-","LmjF.01:14839..17200","LmjF.01.0050","LmjF.01:15025..17022","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0050.html"" target=""_blank""> Click for Additional information</a>","carboxylase, putative "
"LmjF.01.T0060","-","LmjF.01:17694..19086","LmjF.01.0060","LmjF.01:18137..18886","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0060.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0070","-","LmjF.01:19409..22102","LmjF.01.0070","LmjF.01:19951..21747","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0070.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0080","-","LmjF.01:22318..23458","LmjF.01.0080","LmjF.01:22613..23326","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0080.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0090","-","LmjF.01:23935..25735","LmjF.01.0090","LmjF.01:24859..25683","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0090.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0100","-","LmjF.01:26130..27716","LmjF.01.0100","LmjF.01:26405..27361","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0100.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0110","-","LmjF.01:28236..29374","LmjF.01.0110","LmjF.01:28521..29108","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0110.html"" target=""_blank""> Click for Additional information</a>","monothiol glutaredoxin, putative "
"LmjF.01.T0120","-","LmjF.01:29855..32623","LmjF.01.0120","LmjF.01:30278..32251","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0120.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0130","-","LmjF.01:32881..34942","LmjF.01.0130","LmjF.01:33630..34724","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0130.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0135","-","LmjF.01:35593..36593","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0135.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0140","-","LmjF.01:36637..37240","LmjF.01.0140","LmjF.01:36878..37126","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0140.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0150","-","LmjF.01:37554..38236","LmjF.01.0150","LmjF.01:37714..38064","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0150.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0160","-","LmjF.01:38632..39255","LmjF.01.0160","LmjF.01:38940..39182","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0160.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0165","-","LmjF.01:39735..40622","N/A","N/A","<a href=""http://leish-esp.cbm.uam.es/GrupoA/LmjF.01.T0165.html"" target=""_blank""> Click for Additional information</a>","N/A "
"LmjF.01.T0170","-","LmjF.01:40873..43472","LmjF.01.0170","LmjF.01:41273..42649","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0170.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0180","-","LmjF.01:43866..47145","LmjF.01.0180","LmjF.01:44148..46466","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0180.html"" target=""_blank""> Click for Additional information</a>","CLC-type chloride channel, putative "
"LmjF.01.T0190","-","LmjF.01:47355..48268","LmjF.01.0190","LmjF.01:47548..48138","<a href=""http://leish-esp.cbm.uam.es/GrupoNormal/LmjF.01.T0190.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
"LmjF.01.T0200","-","LmjF.01:48692..49700","LmjF.01.0200","LmjF.01:48851..49753","<a href=""http://leish-esp.cbm.uam.es/GrupoC_sub1/LmjF.01.T0200.html"" target=""_blank""> Click for Additional information</a>","hypothetical protein, conserved "
