"CDSID","ortholog","AssociatedFunction"
"LDHU3_01.0030","LmjF.01.0010","Protein of unknown function (DUF2946) putative"
"LDHU3_01.0040","LmjF.01.0020","Endonuclease/Exonuclease/phosphatase family putative"
"LDHU3_01.0050","LmjF.01.0030","Kinesin-13 1 putative"
"LDHU3_01.0060","LmjF.01.0040","hypothetical protein conserved"
"LDHU3_01.0070","LmjF.01.0050","carboxylase putative"
"LDHU3_01.0080","LmjF.01.0060","hypothetical protein conserved"
"LDHU3_01.0090","LmjF.01.0070","BSD domain containing protein putative"
"LDHU3_01.0100","LmjF.01.0080","hypothetical protein conserved"
"LDHU3_01.0110","LmjF.01.0090","UMP-CMP kinase mitochondrial putative"
"LDHU3_01.0120","LmjF.01.0100","Glycosyl transferase family 11 putative"
"LDHU3_01.0130","LmjF.01.0110","monothiol glutaredoxin putative"
"LDHU3_01.0140","LmjF.01.0120","hypothetical protein conserved"
"LDHU3_01.0150","LmjF.01.0130","hypothetical protein conserved"
"LDHU3_01.0160","LmjF.01.0140","hypothetical protein conserved"
"LDHU3_01.0170","LmjF.01.0150","hypothetical protein conserved"
"LDHU3_01.0180","LmjF.01.0160","LSM domain containing protein putative"
"LDHU3_01.0190","LmjF.01.0170","hypothetical protein conserved"
"LDHU3_01.0200","LmjF.01.0180","CLC-type chloride channel putative"
"LDHU3_01.0210","LmjF.01.0190","hypothetical protein conserved"
"LDHU3_01.0220","LmjF.01.0200","Low molecular weight phosphotyrosine protein phosphatase putative"
"LDHU3_01.0230","LmjF.01.0210","UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein putative"
"LDHU3_01.0250","LmjF.01.0220","cyclophilin 12 putative"
"LDHU3_01.0260","LmjF.01.0230","hypothetical protein conserved"
"LDHU3_01.0270","LmjF.01.0240","DNA excision/repair protein SNF2 putative"
"LDHU3_01.0280","LmjF.01.0250","Right handed beta helix region/Periplasmic copper-binding protein (NosD) putative"
"LDHU3_01.0290","LmjF.01.0260","Calmodulin-binding putative"
"LDHU3_01.0300","LmjF.01.0270","thioredoxin putative"
"LDHU3_01.0310","LmjF.01.0280","pseudouridylate synthase-like protein"
"LDHU3_01.0320","LmjF.01.0290","Cytochrome c oxidase biogenesis protein Cmc1 like putative"
"LDHU3_01.0330","LmjF.01.0300","4F5 protein family putative"
"LDHU3_01.0340","LmjF.01.0310","acidocalcisomal exopolyphosphatase putative"
"LDHU3_01.0350","LmjF.01.0315","hypothetical protein conserved"
"LDHU3_01.0360","LmjF.01.0320","poly(A) export protein putative"
"LDHU3_01.0370","LmjF.01.0330","hypothetical protein conserved"
"LDHU3_01.0380","LmjF.01.0335","Uncharacterised protein family (UPF0041) putative"
"LDHU3_01.0390","LmjF.01.0340","hypothetical protein conserved"
"LDHU3_01.0400","LmjF.01.0350","hypothetical protein conserved"
"LDHU3_01.0410","LmjF.01.0360","hypothetical protein conserved"
"LDHU3_01.0420","LmjF.01.0370","Protein of unknown function (DUF788) putative"
"LDHU3_01.0430","LmjF.01.0380","Dyggve-Melchior-Clausen syndrome protein putative"
