"CDSID","ortholog","AssociatedFunction"
"LBRM2904_01.0010 (old tag= LbrM.01.0050)","LmjF.01.0020","Endonuclease/Exonuclease/phosphatase family, putative"
"LBRM2904_01.0020 (old tag= LbrM.01.0060)","LmjF.01.0030","Kinesin-13 1, putative"
"LBRM2904_01.0030 (old tag= LbrM.01.0070)","LmjF.01.0040","hypothetical protein, conserved"
"LBRM2904_01.0040 (old tag= LbrM.01.0080)","LmjF.01.0050","carboxylase, putative"
"LBRM2904_01.0050 (old tag= LbrM.01.0090)","LmjF.01.0060","hypothetical protein, conserved"
"LBRM2904_01.0060 (old tag= LbrM.01.0100)","LmjF.01.0070","BSD domain containing protein, putative"
"LBRM2904_01.0070 (old tag= LbrM.01.0110)","LmjF.01.0080","hypothetical protein, conserved"
"LBRM2904_01.0080 (old tag= LbrM.01.0120)","LmjF.01.0090","UMP-CMP kinase, mitochondrial, putative"
"LBRM2904_01.0090 (old tag= LbrM.01.0130)","LmjF.01.0100","Glycosyl transferase family 11, putative"
"LBRM2904_01.0100 (old tag= LbrM.01.0140)","LmjF.01.0110","monothiol glutaredoxin, putative"
"LBRM2904_01.0110 (old tag= LbrM.01.0150)","LmjF.01.0120","hypothetical protein, conserved"
"LBRM2904_01.0120 (old tag= LbrM.01.0160)","LmjF.01.0130","hypothetical protein, conserved"
"LBRM2904_01.0130 (old tag= LbrM.01.0170)","LmjF.01.0140","hypothetical protein, conserved"
"LBRM2904_01.0140 (old tag= LbrM.01.0180)","LmjF.01.0150","hypothetical protein, conserved"
"LBRM2904_01.0150 (old tag= LbrM.01.0190)","LmjF.01.0160","LSM domain containing protein, putative"
"LBRM2904_01.0160 (old tag= LbrM.01.0200)","LmjF.01.0170","hypothetical protein, conserved"
"LBRM2904_01.0170 (old tag= LbrM.01.0210)","LmjF.01.0180","CLC-type chloride channel, putative"
"LBRM2904_01.0180 (old tag= LbrM.01.0220)","LmjF.01.0190","hypothetical protein, conserved"
"LBRM2904_01.0190 (old tag= LbrM.01.0230)","LmjF.01.0200","Low molecular weight phosphotyrosine protein phosphatase, putative"
